Description,,Summary Amt.
Beginning balance as of 12/23/2023,,"239.80"
Total credits,,"9,507.74"
Total debits,,"-9,725.36"
Ending balance as of 01/25/2024,,"22.18"

Date,Description,Amount,Running Bal.
12/23/2023,Beginning balance as of 12/23/2023,,"239.80"
12/26/2023,"Online Banking transfer from SAV 8178 Confirmation# XXXXX69259","1,135.00","1,374.80"
12/26/2023,"Online Banking transfer from CHK 2102 Confirmation# XXXXX96761","450.00","1,824.80"
12/26/2023,"Online Banking transfer from SAV 8178 Confirmation# XXXXX69195","200.00","2,024.80"
12/26/2023,"Online Banking transfer from CHK 2102 Confirmation# XXXXX02736","100.00","2,124.80"
12/26/2023,"Online Banking transfer from SAV 8178 Confirmation# XXXXX19134","100.00","2,224.80"
12/26/2023,"CVS/PHARMACY #070 12/23 REFUND XXXXX67287 NC","15.50","2,240.30"
12/26/2023,"STARBUCKS STORE 0 12/21 PURCHASE CHARLOTTE NC","-9.09","2,231.21"
12/26/2023,"365 MARKET K 888 12/21 PURCHASE TROY MI","-6.92","2,224.29"
12/26/2023,"WAVE 12/21 PURCHASE XXXXX68603 NY","-171.00","2,053.29"
12/26/2023,"BOJANGLES 479 12/23 PURCHASE HARRISBURG NC","-13.50","2,039.79"
12/26/2023,"RESTAURANT DEPOT 12/23 PURCHASE CHARLOTTE NC","-220.32","1,819.47"
12/26/2023,"NNT DON JUAN B 12/23 PURCHASE CHARLOTTE NC","-6.50","1,812.97"
12/26/2023,"BAHIA DE GRACIA R 12/23 PURCHASE CHARLOTTE NC","-6.68","1,806.29"
12/26/2023,"COMPARE FOODS 12/23 PURCHASE CHARLOTTE NC","-143.02","1,663.27"
12/26/2023,"LOWE'S FOODS # 12/23 PURCHASE HARRISBURG NC","-26.12","1,637.15"
12/26/2023,"PUBLIX #1555 12/23 PURCHASE HARRISBURG NC","-49.75","1,587.40"
12/26/2023,"ALDI 66033 12/23 PURCHASE HARRISBURG NC","-78.42","1,508.98"
12/26/2023,"CVS/PHARMACY #070 12/23 PURCHASE HARRISBURG NC","-15.50","1,493.48"
12/26/2023,"CVS/PHARMACY #070 12/23 PURCHASE HARRISBURG NC","-9.39","1,484.09"
12/26/2023,"LOWE'S FOODS # 12/24 PURCHASE HARRISBURG NC","-15.25","1,468.84"
12/26/2023,"WALGREENS 4305 12/24 PURCHASE HARRISBURG NC","-16.03","1,452.81"
12/26/2023,"LOWE'S FOODS # 12/24 PURCHASE HARRISBURG NC","-33.59","1,419.22"
12/26/2023,"PUBLIX #1555 12/24 PURCHASE HARRISBURG NC","-79.24","1,339.98"
12/26/2023,"NETFLIX COM 12/25 PURCHASE LOS GATOS CA","-24.60","1,315.38"
12/26/2023,"Check 1557","-20.00","1,295.38"
12/27/2023,"QT 1031 12/26 PURCHASE HARRISBURG NC","-2.13","1,293.25"
12/27/2023,"WAVE 12/26 PURCHASE XXXXX68603 NY","-1,134.35","158.90"
12/28/2023,"CIRCLE K 08378 12/28 PURCHASE HARRISBURG NC","-14.40","144.50"
