Description,,Summary Amt.
Beginning balance as of 05/25/2024,,"98.77"
Total credits,,"28,338.50"
Total debits,,"-28,271.51"
Ending balance as of 06/24/2024,,"165.76"

Date,Description,Amount,Running Bal.
05/25/2024,Beginning balance as of 05/25/2024,,"98.77"
05/28/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX81706","100.00","198.77"
05/28/2024,"STARBUCKS STORE 0 05/23 PURCHASE CHARLOTTE NC","-10.39","188.38"
05/28/2024,"SUNFLOUR BAKING C 05/24 PURCHASE HARRISBURG NC","-12.20","176.18"
05/28/2024,"BACGATEWAYVILLAGE 05/24 PURCHASE CHARLOTTE NC","-7.04","169.14"
05/28/2024,"NETFLIX.COM 05/25 PURCHASE LOS GATOS CA","-24.60","144.54"
05/28/2024,"BK BEAUTY SUPPLY 05/25 PURCHASE CONCORD NC","-39.54","105.00"
05/28/2024,"WAL Wal-Mart S 05/25 PURCHASE CONCORD NC","-6.93","98.07"
05/28/2024,"WM SUPERCENTER 05/25 PURCHASE CONCORD NC","-12.03","86.04"
05/28/2024,"WALGREENS 4305 05/26 PURCHASE HARRISBURG NC","-14.42","71.62"
05/28/2024,"Zelle payment to Rose Lauren Kouakou-Ndri Conf# ax78aa1wc","-20.00","51.62"
05/29/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX14200","200.00","251.62"
05/29/2024,"AMZN Mktp US*W95X 05/28 PURCHASE XXXXX61072 WA","-13.90","237.72"
05/29/2024,"BACGATEWAYVILLAGE 05/28 PURCHASE CHARLOTTE NC","-9.69","228.03"
05/29/2024,"GOOGLE *Google 05/28 PURCHASE Mountain View CA","-1.99","226.04"
05/29/2024,"SHELL SERVICE 05/29 PURCHASE CHARLOTTE NC","-22.10","203.94"
05/29/2024,"LOWE'S FOODS # 05/29 PURCHASE HARRISBURG NC","-20.25","183.69"
05/29/2024,"WALGREENS 4305 05/29 PURCHASE HARRISBURG NC","-24.70","158.99"
05/29/2024,"CVS/PHARM 0705 05/29 PURCHASE HARRISBURG NC","-6.61","152.38"
